appartamento,4,20,2,0,3,5,0,4,34,2,2,15,1,5,1,13,0,7,29,2,2,4,3,2,0,5,11,0,1,1,1,57,5,1,0,24,2,0,9,7,1,4,26,7,6,0,25,8,5,1,1,1,2,1,3
basso,3,2,1,0,2,0,14,5,6,6,0,7,7,0,3,2,2,2,7,11,4,9,10,5,3,5,5,1,2,3,0,19,5,0,5,12,5,2,7,3,0,2,23,0,2,0,27,6,5,2,4,1,3,0,5
museo,0,2,1,0,0,0,2,0,3,1,4,0,0,0,3,2,2,2,0,0,0,6,6,1,0,2,0,0,0,2,13,4,1,0,2,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,6,0,2,2,0
cella,0,3,0,0,0,0,0,0,10,16,9,0,0,0,1,0,2,2,2,0,4,1,1,1,2,0,14,0,5,0,0,1,5,0,0,4,0,0,3,0,1,2,4,5,0,0,5,0,6,0,0,0,1,0,0
pensione,4,2,0,0,0,2,0,4,9,3,5,6,0,0,0,0,0,1,9,3,0,4,7,0,0,2,2,0,2,3,0,9,0,0,0,4,0,0,0,2,0,3,6,0,2,2,8,2,0,0,0,0,0,0,0
asilo,1,4,1,0,2,1,3,0,5,0,6,6,8,0,1,0,1,4,1,2,3,3,1,2,0,1,1,0,3,2,1,1,4,1,16,4,0,1,11,0,1,3,7,1,3,0,7,2,1,1,0,0,2,0,0
casamento,2,2,2,0,0,0,0,0,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0
porto,0,7,0,0,1,1,2,7,4,4,5,1,4,0,5,1,0,2,8,7,11,12,22,4,3,2,10,0,1,8,2,9,26,3,8,24,3,1,12,0,0,0,26,3,0,0,8,4,8,1,6,0,1,1,0
forte,0,3,0,1,0,0,1,0,1,0,1,0,1,2,1,0,0,0,1,1,0,2,7,0,21,1,1,0,0,0,0,1,2,2,4,11,0,0,9,0,3,2,3,0,3,2,0,1,3,3,0,0,0,0,0
pegno,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,5,0,2,2,0,1,2,0,1,0,2,4,1,1,0,3,9,9,0,0,4,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0
casetta,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
bugigattolo,2,5,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,0,5,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0
salone,0,4,0,0,1,0,2,10,15,2,0,2,0,3,0,16,0,2,9,4,1,12,31,1,0,3,14,1,6,5,0,75,7,0,0,2,5,0,2,0,0,3,3,24,1,5,3,7,2,0,0,0,9,1,1
tipografia,0,1,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
palazzo,3,93,4,3,8,5,47,6,47,3,21,24,3,2,19,64,14,40,14,20,10,128,20,7,13,8,11,0,4,31,7,90,40,2,87,69,3,1,39,2,1,4,115,29,6,0,169,25,9,4,1,1,18,1,0
confessionale,0,1,0,0,0,1,1,0,4,0,15,1,1,0,0,0,0,0,2,0,0,1,3,2,0,0,0,0,1,0,0,0,6,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,0
villa,9,1,2,0,6,0,4,5,79,3,2,1,9,38,7,23,2,50,2,26,72,25,122,21,0,28,24,3,4,14,24,59,4,0,11,9,21,1,7,4,1,0,8,14,3,6,29,15,6,4,21,0,8,1,1
tenda,6,30,3,0,2,3,2,2,7,4,0,3,1,0,4,17,1,6,10,7,9,5,10,2,1,5,14,0,1,0,2,22,1,23,36,5,2,0,15,1,6,1,16,26,0,1,8,19,3,1,2,0,3,7,12
torre,3,4,2,0,0,3,0,1,9,0,0,3,1,1,23,7,3,3,3,2,2,0,6,7,0,3,1,0,6,4,1,5,5,35,34,29,0,0,5,0,0,0,59,7,2,0,3,4,5,0,0,1,20,1,4
rudere,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0
abitazione,0,3,1,0,10,3,2,0,5,15,9,5,1,0,0,1,2,3,1,2,0,4,2,2,12,4,3,1,2,2,0,2,10,0,0,10,0,0,3,1,0,0,8,0,0,0,9,1,3,2,2,1,2,1,6
