http://www.wikidata.org/entity/Q364005	asilo nido	wikidata	it	civil building (place)	struttura educativa per neonati e bambini fino a 2-3 anni			
http://www.wikidata.org/entity/Q880313	blackhouse	wikidata	it	civil building (place)				
http://www.wikidata.org/entity/Q884742	blockhaus	wikidata	it	civil building (place)	una tipologia di abitazione con pianta rettangolare e circondata da pareti in legno			
http://www.wikidata.org/entity/Q476796	call center	wikidata	it	civil building (place)				
custom_165	abitazione plurifamiliare	custom	it	civil building (place)				
custom_166	abituro	custom	it	civil building (place)				
custom_167	alloggio	custom	it	civil building (place)				
custom_169	appartamento	custom	it	civil building (place)				
custom_170	attico	custom	it	civil building (place)				
custom_171	baglio	custom	it	civil building (place)				
custom_172	balma	custom	it	civil building (place)				
custom_173	baracca	custom	it	civil building (place)				
custom_174	baserri	custom	it	civil building (place)				
custom_175	basso	custom	it	civil building (place)				
custom_176	bicamere	custom	it	civil building (place)				
custom_177	bicocca	custom	it	civil building (place)				
custom_178	bilocale	custom	it	civil building (place)				
custom_179	bivacco	custom	it	civil building (place)				
custom_180	bugigattolo	custom	it	civil building (place)				
custom_181	cabina	custom	it	civil building (place)				
custom_182	camper	custom	it	civil building (place)				
custom_183	campo rom	custom	it	civil building (place)				
custom_184	casa	custom	it	civil building (place)				
custom_185	casa a ballatoio	custom	it	civil building (place)				
custom_186	casa a blocco	custom	it	civil building (place)				
custom_187	casa a corridoio	custom	it	civil building (place)				
custom_188	casa a corte	custom	it	civil building (place)				
custom_189	casa a fossa	custom	it	civil building (place)				
custom_190	casa a galleria	custom	it	civil building (place)				
custom_191	casa a gradone	custom	it	civil building (place)				
custom_192	casa a graticcio	custom	it	civil building (place)				
custom_193	casa a schiera	custom	it	civil building (place)				
custom_194	casa a spina	custom	it	civil building (place)				
custom_195	casa a torre	custom	it	civil building (place)				
custom_196	casa bandeirista	custom	it	civil building (place)				
custom_198	casa binata	custom	it	civil building (place)				
custom_199	casa campidanese	custom	it	civil building (place)				
custom_200	casa con patio	custom	it	civil building (place)				
custom_227	casa da giardino	custom	it	civil building (place)				
custom_201	casa di città	custom	it	civil building (place)				
custom_202	casa di ringhiera	custom	it	civil building (place)				
custom_203	casa galleggiante	custom	it	civil building (place)				
custom_204	casa in linea	custom	it	civil building (place)				
custom_205	casa indipendente	custom	it	civil building (place)				
custom_206	casa mobile	custom	it	civil building (place)				
custom_207	casa per ferie	custom	it	civil building (place)				
custom_208	casa popolare	custom	it	civil building (place)				
custom_209	casa raggruppata	custom	it	civil building (place)				
custom_210	casa romana	custom	it	civil building (place)				
custom_211	casa semi - indipendente	custom	it	civil building (place)				
custom_212	casa signorile	custom	it	civil building (place)				
custom_213	casa singola	custom	it	civil building (place)				
custom_214	casa sovrapposta	custom	it	civil building (place)				
custom_216	casa vacanze	custom	it	civil building (place)				
