Anno,Testi,Token
1919,3,98395
1907,2,167567
1883,3,68304
1871,1,12428
1868,1,92909
1869,2,128075
1891,2,86510
1879,2,109494
1901,4,308067
1892,2,171853
1864,1,85828
1850,1,129556
1849,1,41773
1884,1,44935
1900,1,99307
1889,2,123760
1895,1,57485
1886,2,169602
1913,3,261200
1920,3,107687
1896,2,123720
1890,3,200288
1897,3,162822
1888,2,101798
1894,1,204960
1903,3,159016
1912,5,275584
1874,2,31982
1873,1,61495
1851,1,104702
1885,1,94636
1881,5,446934
1870,2,125154
1858,1,47969
1863,1,309699
1860,3,426071
1915,1,67533
1876,1,40428
1840,4,362457
1908,1,48217
1880,1,30665
1917,1,47894
1867,2,477981
1877,1,99795
1862,2,108317
1904,1,74706
1859,1,413892
1882,2,172149
1853,1,123786
1887,2,83035
1923,1,142355
1898,1,65637
1909,1,71994
1875,1,30902
1866,1,37539
