http://www.wikidata.org/entity/Q13432011,Jizamurai,wikidata,it,signori di piccoli domini rurali nel Giappone feudale
http://www.wikidata.org/entity/Q4114562,Judge advocate,wikidata,it,pagina di disambiguazione di un progetto Wikimedia
http://www.wikidata.org/entity/Q1537665,Kaptein,wikidata,it
http://www.wikidata.org/entity/Q2493398,Khananda,wikidata,it,cantante azero
http://www.wikidata.org/entity/Q1782987,Konstruktionsmechaniker,wikidata,it
http://www.wikidata.org/entity/Q6434389,Kotwal,wikidata,it
http://www.wikidata.org/entity/Q2514216,LNO,wikidata,it
http://www.wikidata.org/entity/Q2746152,Lobster boat,wikidata,it
http://www.wikidata.org/entity/Q3836416,Logger,wikidata,it,Profession della televisione
http://www.wikidata.org/entity/Q6050975,Mabeyn,wikidata,it
http://www.wikidata.org/entity/Q191578,Maestro di cerimonie,wikidata,it
http://www.wikidata.org/entity/Q589897,Mahut,wikidata,it
http://www.wikidata.org/entity/Q6806468,Medical assistant,wikidata,it,pagina di disambiguazione di un progetto Wikimedia
http://www.wikidata.org/entity/Q6806601,Medical science liaison,wikidata,it
http://www.wikidata.org/entity/Q2346290,Medico della peste,wikidata,it,Medico che trattava le vittime della peste bubonica
http://www.wikidata.org/entity/Q6884071,Mix engineer,wikidata,it
http://www.wikidata.org/entity/Q537575,Necroforo,wikidata,it
http://www.wikidata.org/entity/Q66049666,Odontoiatra (Italia),wikidata,it,figura dell'odontoiatra in Italia
http://www.wikidata.org/entity/Q4334946,Onna-musha,wikidata,it,Donna guerriera appartenente alla nobiltà giapponese nel Giappone premoderno
http://www.wikidata.org/entity/Q2625039,Opričniki,wikidata,it
http://www.wikidata.org/entity/Q65028408,Ordinario locale,wikidata,it
http://www.wikidata.org/entity/Q1394172,Ospodaro,wikidata,it
http://www.wikidata.org/entity/Q64169989,Padre cappuccino,wikidata,it,occupazione religiosa
http://www.wikidata.org/entity/Q18419678,Palestinologo,wikidata,it
http://www.wikidata.org/entity/Q1399157,Pievano,wikidata,it,sacerdote nell'Alto Medioevo in Germania
http://www.wikidata.org/entity/Q55630100,Planter,wikidata,it
http://www.wikidata.org/entity/Q64167626,Prima tromba,wikidata,it,professione; leader della prima sezione di tromba in un'orchestra
http://www.wikidata.org/entity/Q64169184,Prima viola,wikidata,it,professione; leader della prima sezione di viola di un'orchestra
http://www.wikidata.org/entity/Q64167645,Primo corno,wikidata,it,professione; capo della prima sezione di corno di un'orchestra
http://www.wikidata.org/entity/Q64168477,Primo flauto,wikidata,it,professione; leader della prima sezione di flauto di un'orchestra
http://www.wikidata.org/entity/Q64167621,Primo jodler,wikidata,it
http://www.wikidata.org/entity/Q64168456,Primo trombone,wikidata,it,professione; capo della prima sezione di trombone di un'orchestra
http://www.wikidata.org/entity/Q64169527,Produttore multimediale,wikidata,it,persona che si occupa della produzione di contenuti multimediali
http://www.wikidata.org/entity/Q3922597,Professore incaricato,wikidata,it,posizione accademica nel sistema universitario italiano
http://www.wikidata.org/entity/Q56185048,Qualificatore del Sant'Uffizio,wikidata,it,teologo nominato dal tribunale del Sant'Uffizio destinato a censurare libri e proposizioni o affermazioni dogmatiche e; in alcune occasioni; a pronunciarsi su questioni dubbie dello stesso tribunale
http://www.wikidata.org/entity/Q2442108,Regista musicale,wikidata,it
http://www.wikidata.org/entity/Q3933467,Responsabile,wikidata,it
http://www.wikidata.org/entity/Q64155234,Responsabile audio,wikidata,it
http://www.wikidata.org/entity/Q3104508,Responsabile culturale,wikidata,it
http://www.wikidata.org/entity/Q3499285,Responsabile del servizio per la tenuta del protocollo informatico; della gestione dei flussi documentali e degli archivi,wikidata,it
http://www.wikidata.org/entity/Q64155945,Responsabile della formazione,wikidata,it,persona che gestisce la formazione
http://www.wikidata.org/entity/Q64155861,Responsabile della vendita,wikidata,it
http://www.wikidata.org/entity/Q64167167,Responsabile delle pubbliche relazioni,wikidata,it,persona che gestisce le pubbliche relazioni
http://www.wikidata.org/entity/Q64155364,Responsabile delle vendite del settore tecnico,wikidata,it
http://www.wikidata.org/entity/Q64167580,Responsabile di masterizzazione,wikidata,it
http://www.wikidata.org/entity/Q64167491,Restauratore di strumenti musicali,wikidata,it,persona che si occupa del restauro degli strumenti musicali
