http://www.wikidata.org/entity/Q105906254,teorico della comunicazione,wikidata,it,profession,
http://www.wikidata.org/entity/Q105954840,jadralni trener,wikidata,sl,profession,
http://www.wikidata.org/entity/Q106093445,calafatore,wikidata,it,profession,
http://www.wikidata.org/entity/Q106255152,storico dell'editoria,wikidata,it,profession,
http://www.wikidata.org/entity/Q1062952,character designer,wikidata,it,profession,
http://www.wikidata.org/entity/Q106313281,commentatore,wikidata,it,profession,redattore del commento di un testo
http://www.wikidata.org/entity/Q106368265,insegnante di lingue,wikidata,it,profession,
http://www.wikidata.org/entity/Q106392835,insegnante di scuola superiore,wikidata,it,profession,responsabile dell'insegnamento in una o più classi di scuola superiore
http://www.wikidata.org/entity/Q106432098,archivista digitale,wikidata,it,profession,
http://www.wikidata.org/entity/Q106494883,digital experience designer,wikidata,it,profession,Persona che disegna l'esperienza digitale di un prodotto o di un servizio
http://www.wikidata.org/entity/Q10650082,recensore,wikidata,it,profession,professione
http://www.wikidata.org/entity/Q106663866,insegnante di giornalismo,wikidata,it,profession,
http://www.wikidata.org/entity/Q10669499,pomorski častnik,wikidata,sl,profession,
http://www.wikidata.org/entity/Q10669499,ufficiale di marina,wikidata,it,profession,
http://www.wikidata.org/entity/Q10672931,psicologo sociale,wikidata,it,profession,persona specializzata nella psicologia sociale
http://www.wikidata.org/entity/Q10672931,socialni psiholog,wikidata,sl,profession,
http://www.wikidata.org/entity/Q1067977,chazzan,wikidata,it,profession,
http://www.wikidata.org/entity/Q1068947,primarij,wikidata,sl,profession,zdravnik na vodstvenem položaju
http://www.wikidata.org/entity/Q1068947,primario,wikidata,it,profession,responsabile di un reparto ospedaliero
http://www.wikidata.org/entity/Q10694573,artista tessile,wikidata,it,profession,
http://www.wikidata.org/entity/Q10694573,oblikovalec tapiserij,wikidata,sl,profession,
http://www.wikidata.org/entity/Q106959229,diatretarius,wikidata,it,profession,artigiano del vetro addetto alla fabbricazione di vasi diatreti
http://www.wikidata.org/entity/Q107154506,paleomalacologo,wikidata,it,profession,
http://www.wikidata.org/entity/Q107194722,nanoscienziato,wikidata,it,profession,
http://www.wikidata.org/entity/Q107198,barbiere,wikidata,it,profession,
http://www.wikidata.org/entity/Q107198,brivec,wikidata,sl,profession,
http://www.wikidata.org/entity/Q107198,varveri,wikidata,scn,profession,
http://www.wikidata.org/entity/Q107230508,poetessa,wikidata,it,profession,donna scrittrice di poesie
http://www.wikidata.org/entity/Q1072363,chief officer,wikidata,it,profession,
http://www.wikidata.org/entity/Q10726370,državni tožilec,wikidata,sl,profession,
http://www.wikidata.org/entity/Q10726370,procuratore della repubblica,wikidata,it,profession,ruolo istituzionale
http://www.wikidata.org/entity/Q107274823,calciatrice,wikidata,it,profession,calciatore di sesso femminile
http://www.wikidata.org/entity/Q10730252,disc jockey radiofonico,wikidata,it,profession,
http://www.wikidata.org/entity/Q107314129,capo-tecnico,wikidata,it,profession,
http://www.wikidata.org/entity/Q107456356,storico dell'educazione,wikidata,it,profession,
http://www.wikidata.org/entity/Q1075651,klaviaturist,wikidata,sl,profession,
http://www.wikidata.org/entity/Q1075651,tastierista,wikidata,it,profession,musicista che suona strumenti a tasti
http://www.wikidata.org/entity/Q1075912,milionario,wikidata,it,profession,
http://www.wikidata.org/entity/Q107619185,umanista digitale,wikidata,it,profession,
http://www.wikidata.org/entity/Q1076502,direttore di coro,wikidata,it,profession,persona che dirige un coro
http://www.wikidata.org/entity/Q1076502,zborovodja,wikidata,sl,profession,
http://www.wikidata.org/entity/Q107711,gasilec,wikidata,sl,profession,
http://www.wikidata.org/entity/Q107711,vigile del fuoco,wikidata,it,profession,addetto allo spegnimento degli incendi e ad altri servizi di soccorso
http://www.wikidata.org/entity/Q107737256,storico dell'archeologia,wikidata,it,profession,
http://www.wikidata.org/entity/Q10774753,artista performativo,wikidata,it,profession,
http://www.wikidata.org/entity/Q10774753,performer,wikidata,sl,profession,umetnik
http://www.wikidata.org/entity/Q1078262,amministratore di database,wikidata,it,profession,persona che amministra i database
http://www.wikidata.org/entity/Q10798782,ator de tełevixion,wikidata,vec,profession,
http://www.wikidata.org/entity/Q10798782,attore televisivo,wikidata,it,profession,attore che lavora principalmente in televisione
http://www.wikidata.org/entity/Q10798782,televizijski igralec,wikidata,sl,profession,
http://www.wikidata.org/entity/Q107991434,team manager,wikidata,it,profession,figura professionale che dirige una compagine sportiva
http://www.wikidata.org/entity/Q108140949,ingegnere elettronico,wikidata,it,profession,
http://www.wikidata.org/entity/Q108219250,rumenista,wikidata,it,profession,
http://www.wikidata.org/entity/Q108271664,psicobiologo,wikidata,it,profession,
http://www.wikidata.org/entity/Q10833314,lojtar tenisi,wikidata,sq,profession,sportist që luan tenis
http://www.wikidata.org/entity/Q10833314,tenisač,wikidata,sl,profession,igralec tenisa
http://www.wikidata.org/entity/Q10833314,tennista,wikidata,it,profession,professione
http://www.wikidata.org/entity/Q10842936,pilota di rally,wikidata,it,profession,
http://www.wikidata.org/entity/Q10842936,voznik rallya,wikidata,sl,profession,
http://www.wikidata.org/entity/Q10843263,hockeista su prato,wikidata,it,profession,giocatore di hockey su prato
http://www.wikidata.org/entity/Q10843263,hokejist na travi,wikidata,sl,profession,
http://www.wikidata.org/entity/Q108575657,storico dell'astronomia,wikidata,it,profession,
http://www.wikidata.org/entity/Q10862983,acquafortista,wikidata,it,profession,
http://www.wikidata.org/entity/Q10862983,jedkar,wikidata,sl,profession,
http://www.wikidata.org/entity/Q108669379,storico della geografia,wikidata,it,profession,
http://www.wikidata.org/entity/Q1086863,kolumnist,wikidata,sl,profession,
http://www.wikidata.org/entity/Q1086863,opinionista,wikidata,it,profession,
http://www.wikidata.org/entity/Q108704715,scienziato delle costruzioni,wikidata,it,profession,
http://www.wikidata.org/entity/Q10871364,giocatore di baseball,wikidata,it,profession,
http://www.wikidata.org/entity/Q10871364,igralec bejzbola,wikidata,sl,profession,
http://www.wikidata.org/entity/Q10872101,anatom,wikidata,sl,profession,
http://www.wikidata.org/entity/Q10872101,anatomista,wikidata,it,profession,studioso di anatomia
http://www.wikidata.org/entity/Q10873124,scacchista,wikidata,it,profession,
http://www.wikidata.org/entity/Q10873124,šahist,wikidata,sl,profession,
http://www.wikidata.org/entity/Q108876168,mariologo,wikidata,it,profession,
http://www.wikidata.org/entity/Q1089801,promotore finanziario,wikidata,it,profession,
http://www.wikidata.org/entity/Q10949665,auditor,wikidata,it,profession,persona che effettua un audit
http://www.wikidata.org/entity/Q1096878,immersione subacquea,wikidata,it,profession,attività che permette di immergere il corpo sotto l'acqua e di nuotare
http://www.wikidata.org/entity/Q10970991,balivo,wikidata,it,profession,
http://www.wikidata.org/entity/Q10989378,marinaio,wikidata,it,profession,membro della sezione di coperta di una nave mercantile
http://www.wikidata.org/entity/Q1100126,svegliatore,wikidata,it,profession,
http://www.wikidata.org/entity/Q11010088,tovarniški delavec,wikidata,sl,profession,
http://www.wikidata.org/entity/Q1104185,coaching,wikidata,it,profession,affiancamento e guida di una persona per il raggiungimento di un obiettivo
http://www.wikidata.org/entity/Q1104185,coaching,wikidata,sl,profession,
http://www.wikidata.org/entity/Q11063,astronom,wikidata,sl,profession,znanstvenik; ki preučuje nebesna telesa
http://www.wikidata.org/entity/Q11063,astronom,wikidata,sq,profession,shkencëtar që studion trupat qiellorë
http://www.wikidata.org/entity/Q11063,astronomo,wikidata,it,profession,scienziato che studia i corpi e i fenomeni esterni all'atmosfera terrestre
