manovale,0,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
carabiniere,0,1,12,0,0,7,0,3,1,11,3,0,0,0,0,0,2,0,2,5,3,9,1,7,0,4,0,4,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,4,16,0,0,0,7,1,4
maestranza,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
ballerino,0,2,1,0,0,0,0,1,0,3,0,0,6,0,0,0,0,0,12,3,1,4,0,0,0,2,0,4,0,2,0,5,0,0,1,0,0,0,1,0,0,0,2,1,1,0,11,4,0,0,1,0,0,0,2,1
medico,16,21,27,0,1,16,72,12,8,77,47,30,11,7,13,0,10,1,74,71,33,11,12,18,13,12,5,68,0,0,30,91,2,144,88,22,5,21,11,4,5,11,59,4,7,6,53,21,114,12,7,46,12,11,22,6
chirurgo,0,2,1,0,0,1,0,3,0,0,0,5,0,0,0,0,3,0,3,11,1,0,7,0,1,0,1,3,0,2,0,0,1,1,2,0,4,3,6,0,0,0,4,0,3,0,16,1,4,9,0,1,0,1,1,0
guida,0,10,0,1,1,0,2,0,3,5,0,1,3,1,0,1,3,3,2,2,7,0,4,5,1,2,2,8,1,3,0,19,11,4,25,1,1,15,4,1,1,4,10,0,0,4,5,3,4,9,0,0,0,5,0,0
segretario,0,5,2,0,0,17,27,4,5,5,2,0,15,0,0,0,1,0,1,8,5,19,4,27,0,1,0,5,0,0,7,27,0,11,28,1,0,9,2,1,0,2,27,2,16,7,47,16,3,16,1,0,0,0,0,0
scrittore,5,5,2,0,0,1,0,3,8,2,4,0,0,0,0,0,0,2,1,2,3,11,2,1,0,0,2,2,0,10,2,16,1,10,11,1,0,16,29,0,0,2,6,4,11,2,25,0,3,2,0,1,0,0,0,0
guardia,6,188,20,0,4,2,18,14,10,48,14,4,24,4,10,0,26,0,52,90,6,18,40,78,92,144,34,48,4,6,0,26,62,86,112,0,2,58,38,2,0,2,104,0,30,16,186,6,40,38,34,4,0,4,0,2
calcolatore,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
balia,1,2,1,0,0,0,1,0,10,8,5,0,2,2,2,0,0,1,0,5,1,2,10,0,1,2,0,0,0,2,1,4,1,2,5,0,1,4,1,0,0,1,6,0,0,0,4,7,1,2,0,10,0,0,4,0
avvocato,2,2,4,0,0,14,3,0,11,68,7,1,4,0,6,0,1,1,3,45,52,36,19,20,12,9,2,111,0,1,68,37,1,2,6,16,2,3,8,4,1,4,68,81,15,4,238,30,8,15,0,10,1,0,0,0
sociologo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saggio,1,3,0,1,1,2,0,1,2,3,0,5,3,0,1,0,1,3,0,1,3,1,2,4,1,1,8,4,0,2,0,6,4,6,10,2,1,9,3,1,0,0,8,1,2,4,11,0,1,3,0,1,1,1,0,0
ingegnere,6,6,0,0,0,0,2,18,14,48,0,0,2,0,0,0,0,0,18,2,74,4,4,64,2,2,0,16,16,0,0,94,2,2,0,2,0,0,0,0,0,8,14,0,10,0,12,0,0,0,12,0,0,0,0,0
pegno,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,5,0,2,2,0,1,2,0,1,0,2,1,1,0,9,9,0,0,3,1,0,0,0,2,1,0,0,1,0,1,2,0,0,0,0,0,0
cocchiere,0,3,2,0,0,3,6,3,1,24,3,1,1,0,11,0,5,1,5,19,7,4,49,8,1,0,3,21,0,0,9,35,10,0,1,1,0,7,3,0,0,0,5,7,10,0,47,9,1,0,0,1,0,2,0,5
rappresentante,0,3,1,1,0,0,1,8,0,1,1,1,2,0,0,0,1,0,4,1,1,2,17,4,1,0,2,0,0,1,2,3,10,4,10,0,1,1,3,0,0,0,12,0,2,0,8,2,7,3,1,2,0,1,0,0
romanziere,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,4,2,0,3,3,0,0,0,2,0,0,1,1,3,0,4,1,0,0,0,0,0,0,0,0
scrittrice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corrispondente,0,2,0,0,0,0,0,6,1,0,6,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,1,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0
scienziato,1,4,1,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,14,0,0,0,1,2,0,1,2,0,0,0,1,0,0,4,0,1,2,1,0,0,0,0,1,2,0,0,0
psicologo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
giornalista,0,3,0,0,0,2,0,28,7,2,0,0,0,0,0,0,0,0,0,7,4,13,2,4,0,0,47,2,1,1,3,1,0,0,2,0,0,0,0,0,1,0,2,1,5,0,3,2,0,0,0,0,0,1,0,1
direttore,0,6,16,0,0,1,1,14,4,44,6,5,1,0,0,0,0,0,63,15,2,3,4,10,3,0,3,64,0,1,1,4,8,1,1,5,0,0,2,1,0,5,5,0,4,2,19,26,2,15,2,3,0,0,0,0
